source,target,weight
N140,N141,1
N141,N142,2
N142,N143,1
N143,N144,1
N144,N145,4
N145,N146,4
N146,N147,4
N147,N148,2
N148,N149,2
N149,N150,4
N150,N151,5
N151,N152,3
N152,N153,2
N153,N154,5
N154,N155,4
N155,N156,4
N156,N157,5
N157,N158,4
N158,N159,3
N159,N160,1
N160,N161,2
N161,N162,2
N162,N163,5
N163,N164,3
N164,N165,4
N165,N166,4
N166,N167,1
N167,N168,1
N168,N169,3
N169,N170,3
N170,N171,1
N171,N172,5
N172,N173,1
N173,N174,4
N174,N175,3
N175,N176,2
N176,N177,1
N177,N178,3
N178,N179,4
N179,N180,4
N180,N181,3
N181,N182,4
N182,N183,4
N183,N184,4
N184,N185,1
N185,N186,5
N186,N187,2
N187,N188,3
N188,N189,1
N189,N190,2
N190,N191,4
N191,N192,4
N192,N193,2
N193,N194,1
N194,N195,1
N195,N196,4
N196,N197,5
N197,N198,1
N198,N199,2
N199,N200,1
N200,N201,2
N201,N202,3
N202,N203,4
N203,N204,2
N204,N205,4
N205,N206,5
N206,N207,4
N207,N208,3
N208,N209,5
N209,N210,4
N210,N211,1
N211,N212,4
N212,N213,4
N213,N214,3
N214,N215,5
N215,N216,4
N216,N217,2
N217,N218,5
N218,N219,3
N219,N220,2
N220,N221,3
N221,N222,1
N222,N223,5
N223,N224,1
N224,N225,5
N225,N226,5
N226,N227,4
N227,N228,4
N228,N229,5
N229,N230,5
N230,N231,5
N231,N232,2
N232,N233,2
N233,N234,2
N234,N235,3
N235,N236,3
N236,N237,4
N237,N238,4
N238,N239,2
N239,N240,2
N240,N241,1
N241,N242,1
N242,N243,3
N243,N244,3
N244,N245,3
N245,N246,1
N246,N247,3
N247,N248,1
N248,N249,3
N249,N250,2
N250,N251,4
N251,N252,1
N252,N253,4
N253,N254,1
N254,N255,3
N255,N256,1
N256,N257,4
N257,N258,1
N258,N259,1
N259,N260,5
N260,N261,4
N261,N262,5
N262,N263,2
N263,N264,5
N264,N265,1
N265,N266,5
N266,N267,1
N267,N268,4
N268,N269,1
N269,N270,1
N270,N271,3
N271,N272,1
N272,N273,1
N273,N274,1
N274,N275,4
N275,N276,2
N276,N277,4
N277,N278,3
N278,N279,4
N279,N280,3
N280,N281,5
N281,N282,4
N282,N283,1
N283,N284,1
N284,N285,2
N285,N286,5
N286,N287,3
N287,N288,4
N288,N289,5
N289,N290,4
N290,N291,2
N291,N292,4
N292,N293,3
N293,N294,3
N294,N295,4
N295,N296,1
N296,N297,5
N297,N298,5
N298,N299,3
N299,N300,3
N300,N301,1
N301,N302,4
N302,N303,2
N303,N304,1
N304,N305,4
N305,N306,3
N306,N307,1
N307,N308,3
N308,N309,5
N309,N310,2
N310,N311,5
N311,N312,4
N312,N313,5
N313,N314,3
N314,N315,2
N315,N316,3
N316,N317,1
N317,N318,5
N318,N319,4
N319,N320,5
N320,N321,2
N321,N322,1
N322,N323,3
N323,N324,3
N324,N325,4
N325,N326,4
N326,N327,4
N327,N328,5
N328,N329,2
N329,N330,1
N330,N331,3
N331,N332,4
N332,N333,3
N333,N334,4
N334,N335,4
N335,N336,3
N336,N337,4
N337,N338,2
N338,N339,4
N339,N340,4
N340,N341,1
N341,N342,2
N342,N343,5
N343,N344,1
N344,N345,3
N345,N346,4
N346,N347,1
N347,N348,3
N348,N349,4
N349,N350,3
N350,N351,3
N351,N352,2
N352,N353,2
N353,N354,4
N354,N355,1
N355,N356,2
N356,N357,2
N357,N358,2
N358,N359,4
N359,N360,4
N360,N361,3
N361,N362,3
N362,N363,2
N363,N364,3
N364,N365,2
N365,N366,2
N366,N367,3
N367,N368,2
N368,N369,2
N369,N370,3
N370,N371,3
N371,N372,3
N372,N373,5
N373,N374,2
N374,N375,2
N375,N376,4
N376,N377,3
N377,N378,2
N378,N379,5
N379,N380,3
N380,N381,5
N381,N382,1
N382,N383,5
N383,N384,5
N384,N385,5
N385,N386,1
N386,N387,4
N387,N388,5
N388,N389,1
N389,N390,5
N390,N391,5
N391,N392,5
N392,N393,1
N393,N394,2
N394,N395,2
N395,N396,1
N396,N397,1
N397,N398,4
N398,N399,1
N399,N400,2
N400,N401,5
N401,N402,5
N402,N403,2
N403,N404,1
N404,N405,3
N405,N406,2
N406,N407,5
N407,N408,3
N408,N409,1
N409,N410,4
N410,N411,3
N411,N412,3
N412,N413,2
N413,N414,4
N414,N415,1
N415,N416,4
N416,N417,3
N417,N418,1
N418,N419,3
N419,N420,3
N420,N421,1
N421,N422,3
N422,N423,5
N423,N424,2
N424,N425,2
N425,N426,4
N426,N427,5
N427,N428,5
N428,N429,5
N429,N430,3
N430,N431,5
N431,N432,2
N432,N433,3
N433,N434,1
N434,N435,5
N435,N436,2
N436,N437,1
N437,N438,2
N438,N439,4
N439,N440,1
N440,N441,1
N441,N442,3
N442,N443,1
N443,N444,5
N444,N445,3
N445,N446,5
N446,N447,1
N447,N448,3
N448,N449,4
N449,N450,3
N450,N451,2
N451,N452,2
N452,N453,2
N453,N454,5
N454,N455,1
N455,N456,5
N456,N457,5
N457,N458,3
N458,N459,5
N459,N460,5
N460,N461,5
N461,N462,4
N462,N463,1
N463,N464,3
N464,N465,2
N465,N466,4
N466,N467,4
N467,N468,3
N468,N469,3
N469,N470,3
N470,N471,1
N471,N472,1
N472,N473,4
N473,N474,4
N474,N475,5
N475,N476,2
N476,N477,4
N477,N478,1
N478,N479,3
N479,N480,5
N480,N481,2
N481,N482,4
N482,N483,5
N483,N484,1
N484,N485,3
N485,N486,2
N486,N487,3
N487,N488,2
N488,N489,5
N489,N490,4
N490,N491,5
N491,N492,3
N492,N493,5
N493,N494,1
N494,N495,3
N495,N496,3
N496,N497,4
N497,N498,5
N498,N499,2
N499,N500,1
N500,N501,2
N501,N502,5
N502,N503,1
N503,N504,4
N504,N505,3
N505,N506,1
N506,N507,4
N507,N508,3
N508,N509,2
N509,N510,3
N510,N511,1
N511,N512,4
N512,N513,2
N513,N514,1
N514,N515,3
N515,N516,3
N516,N517,1
N517,N518,2
N518,N519,5
N519,N520,4
N520,N521,5
N521,N522,5
N522,N523,2
N523,N524,2
N524,N525,5
N525,N526,5
N526,N527,3
N527,N528,2
N528,N529,3
N529,N530,5
N530,N531,1
N531,N532,1
N532,N533,4
N533,N534,1
N534,N535,3
N535,N536,3
N536,N537,4
N537,N538,5
N538,N539,5
N539,N540,4
N540,N541,4
N541,N542,1
N542,N543,5
N543,N544,1
N544,N545,4
N545,N546,4
N546,N547,3
N547,N548,4
N548,N549,2
N549,N550,3
N550,N551,1
N551,N552,2
N552,N553,2
N553,N554,4
N554,N555,2
N555,N556,4
N556,N557,5
N557,N558,3
N558,N559,5
N559,N560,2
N560,N561,2
N561,N562,2
N562,N563,2
N563,N564,4
N564,N565,5
N565,N566,1
N566,N567,4
N567,N568,1
N568,N569,5
N569,N570,4
N570,N571,1
N571,N572,2
N572,N573,5
N573,N574,3
N574,N575,5
N575,N576,2
N576,N577,2
N577,N578,2
N578,N579,3
N579,N580,2
N580,N581,2
N581,N582,4
N582,N583,1
N583,N584,4
N584,N585,1
N585,N586,4
N586,N587,3
N587,N588,5
N588,N589,5
N589,N590,2
N590,N591,5
N591,N592,3
N592,N593,4
N593,N594,2
N594,N595,3
N595,N596,1
N596,N597,5
N597,N598,5
N598,N599,4
N599,N600,2
N600,N601,5
N601,N602,5
N602,N603,4
N603,N604,1
N604,N605,2
N605,N606,1
N606,N607,4
N607,N608,3
N608,N609,1
N609,N610,1
N610,N611,3
N611,N612,5
N612,N613,1
N613,N614,2
N614,N615,3
N615,N616,1
N616,N617,1
N617,N618,4
N618,N619,3
N619,N620,5
N620,N621,3
N621,N622,4
N622,N623,4
N623,N624,4
N624,N625,3
N625,N626,2
N626,N627,4
N627,N628,3
N628,N629,3
N629,N630,1
N630,N631,3
N631,N632,3
N632,N633,1
N633,N634,5
N634,N635,5
N635,N636,1
N636,N637,5
N637,N638,1
N638,N639,1
N639,N640,4
N640,N641,2
N641,N642,4
N642,N643,1
N643,N644,3
N644,N645,4
N645,N646,3
N646,N647,2
N647,N648,2
N648,N649,2
N649,N650,4
N650,N651,2
N651,N652,4
N652,N653,2
N653,N654,4
N654,N655,3
N655,N656,1
N656,N657,1
N657,N658,5
N658,N659,5
N659,N660,1
N660,N661,2
N661,N662,3
N662,N663,5
N663,N664,1
N664,N665,3
N665,N666,5
N666,N667,4
N667,N668,4
N668,N669,1
N669,N670,3
N670,N671,3
N671,N672,1
N672,N673,4
N673,N674,5
N674,N675,3
N675,N676,2
N676,N677,2
N677,N678,2
N678,N679,4
N679,N680,1
N680,N681,5
N681,N682,5
N682,N683,5
N683,N684,1
N684,N685,2
N685,N686,5
N686,N687,1
N687,N688,4
N688,N689,2
N689,N690,5
N690,N691,2
N691,N692,1
N692,N693,3
N693,N694,3
N694,N695,1
N695,N696,2
N696,N697,4
N697,N698,3
N698,N699,2
N699,N700,4
N700,N701,3
N701,N702,2
N702,N703,5
N703,N704,1
N704,N705,4
N705,N706,2
N706,N707,1
N707,N708,4
N708,N709,3
N709,N710,3
N710,N711,2
N711,N712,1
N712,N713,4
N713,N714,1
N714,N715,3
N715,N716,4
N716,N717,4
N717,N718,4
N718,N719,4
N719,N720,2
N720,N721,2
N721,N722,1
N722,N723,2
N723,N724,1
N724,N725,4
N725,N726,4
N726,N727,1
N727,N728,1
N728,N729,5
N729,N730,1
N730,N731,2
N731,N732,5
N732,N733,2
N733,N734,5
N734,N735,4
N735,N736,1
N736,N737,1
N737,N738,4
N738,N739,5
N739,N740,3
N740,N741,4
N741,N742,2
N742,N743,2
N743,N744,4
N744,N745,1
N745,N746,1
N746,N747,5
N747,N748,5
N748,N749,4
N749,N750,3
N750,N751,4
N751,N752,1
N752,N753,1
N753,N754,4
N754,N755,1
N755,N756,1
N756,N757,1
N757,N758,3
N758,N759,3
N759,N760,5
N760,N761,2
N761,N762,3
N762,N763,1
N763,N764,5
N764,N765,4
N765,N766,5
N766,N767,3
N767,N768,4
N768,N769,5
N769,N770,5
N770,N771,2
N771,N772,5
N772,N773,2
N773,N774,3
N774,N775,4
N775,N776,4
N776,N777,2
N777,N778,5
N778,N779,4
N779,N780,1
N780,N781,1
N781,N782,4
N782,N783,1
N783,N784,5
N784,N785,1
N785,N786,2
N786,N787,4
N787,N788,4
N788,N789,3
N789,N790,5
N790,N791,4
N791,N792,5
N792,N793,5
N793,N794,2
N794,N795,5
N795,N796,3
N796,N797,3
N797,N798,4
N798,N799,2
N799,N800,5
N800,N801,3
N801,N802,1
N802,N803,3
N803,N804,2
N804,N805,1
N805,N806,1
N806,N807,1
N807,N808,4
N808,N809,1
N809,N810,5
N810,N811,2
N811,N812,4
N812,N813,3
N813,N814,1
N814,N815,1
N815,N816,1
N816,N817,2
N817,N818,5
N818,N819,2
N819,N820,4
N820,N821,4
N821,N822,2
N822,N823,1
N823,N824,2
N824,N825,2
N825,N826,5
N826,N827,1
N827,N828,4
N828,N829,2
N829,N830,5
N830,N831,1
N831,N832,4
N832,N833,5
N833,N834,1
N834,N835,5
N835,N836,4
N836,N837,3
N837,N838,3
N838,N839,2
N839,N840,4
N840,N841,5
N841,N842,4
N842,N843,1
N843,N844,2
N844,N845,5
N845,N846,2
N846,N847,1
N847,N848,2
N848,N849,3
N849,N850,2
N850,N851,4
N851,N852,3
N852,N853,2
N853,N854,1
N854,N855,2
N855,N856,4
N856,N857,2
N857,N858,1
N858,N859,4
N859,N860,4
N860,N861,1
N861,N862,1
N862,N863,3
N863,N864,1
N864,N865,4
N865,N866,3
N866,N867,5
N867,N868,3
N868,N869,3
N869,N870,2
N870,N871,1
N871,N872,4
N872,N873,3
N873,N874,3
N874,N875,5
N875,N876,3
N876,N877,2
N877,N878,5
N878,N879,3
N879,N880,1
N880,N881,1
N881,N882,2
N882,N883,3
N883,N884,3
N884,N885,1
N885,N886,2
N886,N887,3
N887,N888,1
N888,N889,4
N889,N890,3
N890,N891,4
N891,N892,3
N892,N893,3
N893,N894,1
N894,N895,4
N895,N896,5
N896,N897,2
N897,N898,1
N898,N899,3
N899,N900,2
N900,N901,1
N901,N902,3
N902,N903,2
N903,N904,2
N904,N905,3
N905,N906,3
N906,N907,3
N907,N908,4
N908,N909,4
N909,N910,4
N910,N911,2
N911,N912,1
N912,N913,5
N913,N914,2
N914,N915,2
N915,N916,2
N916,N917,2
N917,N918,4
N918,N919,5
N919,N920,4
N920,N921,4
N921,N922,5
N922,N923,4
N923,N924,3
N924,N925,3
N925,N926,4
N926,N927,4
N927,N928,1
N928,N929,4
N929,N930,5
N930,N931,4
N931,N932,5
N932,N933,2
N933,N934,1
N934,N935,5
N935,N936,4
N936,N937,1
N937,N938,4
N938,N939,2
N939,N940,3
N940,N941,1
N941,N942,1
N942,N943,2
N943,N944,3
N944,N945,3
N945,N946,5
N946,N947,5
N947,N948,3
N948,N949,1
N949,N950,5
N950,N951,4
N951,N952,2
N952,N953,1
N953,N954,4
N954,N955,1
N955,N956,5
N956,N957,5
N957,N958,1
N958,N959,3
N959,N960,1
N960,N961,3
N961,N962,4
N962,N963,5
N963,N964,1
N964,N965,3
N965,N966,2
N966,N967,4
N967,N968,4
N968,N969,4
N969,N970,1
N970,N971,2
N971,N972,5
N972,N973,1
N973,N974,1
N974,N975,2
N975,N976,2
N976,N977,1
N977,N978,4
N978,N979,5
N979,N980,1
N980,N981,4
N981,N982,1
N982,N983,3
N983,N984,1
N984,N985,3
N985,N986,2
N986,N987,5
N987,N988,2
N988,N989,5
N989,N990,2
N990,N991,3
N991,N992,3
N992,N993,1
N993,N994,5
N994,N995,3
N995,N996,1
N996,N997,1
N997,N998,1
N998,N999,5
N999,N1000,3
N1,N332,1
N1,N70,2
N1,N3,3
N2,N595,5
N2,N512,4
N2,N400,3
N3,N327,2
N3,N844,3
N3,N130,4
N4,N985,2
N4,N314,2
N4,N135,1
N5,N507,4
N5,N822,3
N5,N763,2
N6,N201,1
N6,N755,1
N6,N810,2
N7,N109,4
N7,N732,1
N7,N249,1
N8,N101,3
N8,N393,4
N8,N562,1
N9,N765,5
N9,N333,5
N9,N983,2
N10,N936,4
N10,N556,2
N10,N227,5
N11,N19,2
N11,N795,4
N11,N633,2
N12,N66,3
N12,N385,3
N12,N80,4
N13,N65,5
N13,N944,1
N13,N540,2
N14,N174,3
N14,N288,3
N14,N530,1
N15,N976,3
N15,N939,4
N15,N329,1
N16,N132,1
N16,N792,2
N16,N292,4
N17,N23,5
N17,N981,2
N17,N172,2
N18,N420,2
N18,N295,1
N18,N888,2
N19,N913,5
N19,N588,4
N19,N58,2
N20,N43,4
N20,N103,5
N20,N208,4
N21,N642,5
N21,N783,2
N21,N7,5
N22,N588,2
N22,N216,3
N22,N114,4
N23,N18,2
N23,N980,4
N23,N76,5
N24,N741,4
N24,N678,5
N24,N796,3
N25,N595,2
N25,N473,2
N25,N701,2
N26,N19,1
N26,N847,4
N26,N648,1
N27,N873,1
N27,N571,1
N27,N720,4
N28,N900,5
N28,N147,5
N28,N98,3
N29,N287,5
N29,N60,4
N29,N735,3
N30,N492,1
N30,N797,4
N30,N775,1
N31,N557,5
N31,N750,5
N31,N874,4
N32,N921,4
N32,N966,3
N32,N394,3
N33,N292,1
N33,N832,1
N33,N263,2
N34,N927,5
N34,N764,3
N34,N730,2
N35,N332,4
N35,N189,3
N35,N313,3
N36,N814,1
N36,N460,2
N36,N107,5
N37,N559,2
N37,N828,3
N37,N487,4
N38,N713,5
N38,N570,2
N38,N871,1
N39,N221,4
N39,N767,1
N39,N63,2
N40,N732,1
N40,N389,3
N40,N385,4
N41,N983,4
N41,N69,1
N41,N540,5
N42,N319,3
N42,N474,5
N42,N186,5
N43,N452,4
N43,N149,2
N43,N195,3
N44,N788,2
N44,N701,4
N44,N940,2
N45,N682,2
N45,N692,3
N45,N237,4
N46,N620,2
N46,N195,2
N46,N60,3
N47,N275,5
N47,N563,1
N47,N164,5
N48,N583,4
N48,N753,5
N48,N708,4
N49,N630,4
N49,N25,3
N49,N167,3
N50,N210,2
N50,N968,1
N50,N249,4
N51,N422,1
N51,N947,2
N51,N796,1
N52,N132,5
N52,N716,4
N52,N924,2
N53,N552,2
N53,N354,1
N53,N175,3
N54,N222,1
N54,N310,3
N54,N357,3
N55,N426,2
N55,N736,5
N55,N230,3
N56,N581,4
N56,N510,1
N56,N456,2
N57,N344,1
N57,N779,3
N57,N946,5
N58,N832,2
N58,N651,3
N58,N627,4
N59,N256,5
N59,N684,3
N59,N210,1
N60,N648,2
N60,N876,3
N60,N898,1
N61,N821,4
N61,N389,3
N61,N94,2
N62,N60,5
N62,N217,3
N62,N18,1
N63,N341,3
N63,N789,4
N63,N695,2
N64,N55,4
N64,N722,5
N64,N379,5
N65,N327,5
N65,N706,2
N65,N889,5
N66,N141,3
N66,N689,1
N66,N764,5
N67,N396,4
N67,N770,5
N67,N544,5
N68,N22,2
N68,N939,1
N68,N492,1
N69,N768,4
N69,N887,4
N69,N801,1
N70,N335,2
N70,N406,4
N70,N290,1
N71,N83,2
N71,N359,3
N71,N340,3
N72,N859,1
N72,N889,5
N72,N851,4
N73,N420,3
N73,N484,2
N73,N508,4
N74,N827,4
N74,N360,2
N74,N770,2
N75,N974,2
N75,N131,5
N75,N700,4
N76,N311,3
N76,N370,5
N76,N922,3
N77,N431,2
N77,N773,3
N77,N337,5
N78,N600,2
N78,N531,4
N78,N284,4
N79,N945,1
N79,N482,1
N79,N294,1
N80,N725,2
N80,N769,4
N80,N735,2
N81,N253,1
N81,N995,4
N81,N110,5
N82,N870,3
N82,N911,5
N82,N688,2
N83,N56,2
N83,N713,3
N83,N961,1
N84,N405,5
N84,N681,3
N84,N252,1
N85,N557,1
N85,N949,1
N85,N228,5
N86,N662,5
N86,N964,3
N86,N310,3
N87,N430,2
N87,N671,5
N87,N707,5
N88,N496,3
N88,N585,5
N88,N76,5
N89,N165,1
N89,N88,2
N89,N603,1
N90,N461,1
N90,N993,4
N90,N995,2
N91,N569,1
N91,N27,1
N91,N184,1
N92,N385,3
N92,N475,3
N92,N926,4
N93,N307,1
N93,N87,4
N93,N51,5
N94,N550,1
N94,N826,5
N94,N182,1
N95,N518,3
N95,N32,1
N95,N25,2
N96,N130,3
N96,N897,4
N96,N830,4
N97,N714,5
N97,N787,1
N97,N738,4
N98,N681,4
N98,N419,2
N98,N596,5
N99,N635,2
N99,N167,5
N99,N771,4
N100,N157,5
N100,N74,2
N100,N459,4
N101,N883,5
N101,N154,2
N101,N916,2
N102,N874,3
N102,N550,4
N102,N207,3
N103,N707,2
N103,N135,4
N103,N555,3
N104,N957,4
N104,N379,3
N104,N760,3
N105,N913,2
N105,N915,1
N105,N521,1
N106,N611,5
N106,N496,4
N106,N469,1
N107,N140,1
N107,N628,3
N107,N120,3
N108,N143,4
N108,N393,5
N108,N92,1
N109,N187,1
N109,N87,5
N109,N827,5
N110,N495,1
N110,N869,5
N110,N528,3
N111,N30,1
N111,N483,4
N111,N431,4
N112,N275,3
N112,N501,1
N112,N605,5
N113,N849,4
N113,N879,5
N113,N624,3
N114,N470,1
N114,N947,3
N114,N695,2
N115,N575,4
N115,N226,3
N115,N107,5
N116,N705,1
N116,N662,3
N116,N287,4
N117,N865,3
N117,N83,5
N117,N498,4
N118,N516,4
N118,N140,5
N118,N909,1
N119,N306,3
N119,N62,3
N119,N894,5
N120,N451,1
N120,N652,4
N120,N73,1
N121,N681,3
N121,N445,2
N121,N852,3
N122,N584,5
N122,N477,2
N122,N688,2
N123,N335,4
N123,N906,3
N123,N526,4
N124,N815,5
N124,N266,4
N124,N16,3
N125,N897,5
N125,N62,5
N125,N887,1
N126,N37,1
N126,N262,4
N126,N632,4
N127,N582,5
N127,N309,1
N127,N874,3
N128,N306,3
N128,N638,4
N128,N608,3
N129,N44,4
N129,N888,5
N129,N303,5
N130,N49,3
N130,N865,4
N130,N607,5
N131,N181,1
N131,N9,1
N131,N846,1
N132,N484,4
N132,N364,4
N132,N101,3
N133,N841,5
N133,N997,5
N133,N922,3
N134,N437,5
N134,N747,1
N134,N167,2
N135,N245,3
N135,N470,4
N135,N33,3
N136,N563,3
N136,N604,2
N136,N303,4
N137,N744,3
N137,N844,2
N137,N568,1
N138,N51,1
N138,N919,4
N138,N451,2
N139,N107,3
N139,N884,4
N139,N600,1
N140,N125,1
N140,N799,4
N140,N581,5
N141,N332,4
N141,N307,4
N141,N154,1
N142,N834,1
N142,N841,2
N142,N194,5
N143,N385,5
N143,N169,3
N143,N129,5
N144,N759,5
N144,N661,5
N144,N740,1
N145,N986,4
N145,N472,1
N145,N698,3
N146,N624,4
N146,N104,1
N146,N200,2
N147,N196,5
N147,N641,3
N147,N540,3
N148,N126,4
N148,N190,1
N148,N449,3
N149,N560,5
N149,N874,5
N149,N30,1
N150,N754,5
N150,N784,5
N150,N445,2
N151,N640,2
N151,N79,4
N151,N182,5
N152,N683,5
N152,N855,5
N152,N114,5
N153,N263,2
N153,N663,3
N153,N960,1
N154,N305,4
N154,N995,2
N154,N159,1
N155,N690,3
N155,N941,5
N155,N403,5
N156,N985,1
N156,N588,2
N156,N387,5
N157,N326,2
N157,N771,2
N157,N87,5
N158,N798,4
N158,N644,1
N158,N284,3
N159,N834,1
N159,N545,3
N159,N17,2
N160,N826,5
N160,N106,5
N160,N155,3
N161,N229,5
N161,N800,4
N161,N974,1
N162,N333,1
N162,N32,1
N162,N541,1
N163,N232,3
N163,N819,5
N163,N403,5
N164,N630,5
N164,N122,5
N164,N652,3
N165,N464,5
N165,N775,5
N165,N786,1
N166,N564,3
N166,N134,1
N166,N484,1
N167,N155,2
N167,N941,4
N167,N80,2
N168,N153,1
N168,N209,2
N168,N20,5
N169,N432,2
N169,N239,2
N169,N639,5
N170,N544,4
N170,N618,1
N170,N923,2
N171,N445,3
N171,N924,3
N171,N264,4
N172,N933,1
N172,N511,3
N172,N636,2
N173,N60,2
N173,N286,2
N173,N560,1
N174,N615,2
N174,N918,4
N174,N615,1
N175,N792,4
N175,N533,4
N175,N644,3
N176,N262,3
N176,N37,4
N176,N163,1
N177,N234,1
N177,N125,1
N177,N385,5
N178,N692,3
N178,N620,2
N178,N854,3
N179,N395,3
N179,N370,1
N179,N14,2
N180,N731,2
N180,N49,2
N180,N176,3
N181,N898,4
N181,N653,4
N181,N55,4
N182,N142,4
N182,N222,4
N182,N766,5
N183,N870,5
N183,N545,5
N183,N961,5
N184,N582,3
N184,N511,5
N184,N433,1
N185,N519,1
N185,N593,2
N185,N99,3
N186,N364,1
N186,N965,2
N186,N931,4
N187,N273,3
N187,N910,4
N187,N323,2
N188,N842,2
N188,N609,1
N188,N607,4
N189,N682,5
N189,N352,1
N189,N65,4
N190,N884,1
N190,N512,3
N190,N915,2
N191,N76,4
N191,N735,2
N191,N316,4
N192,N376,1
N192,N788,1
N192,N494,5
N193,N704,1
N193,N530,2
N193,N807,4
N194,N484,3
N194,N580,3
N194,N798,2
N195,N308,5
N195,N196,4
N195,N194,5
N196,N199,5
N196,N955,5
N196,N599,1
N197,N953,4
N197,N728,1
N197,N636,4
N198,N15,3
N198,N776,3
N198,N874,4
N199,N919,4
N199,N627,4
N199,N880,5
N200,N104,5
N200,N501,2
N200,N675,5
N201,N210,4
N201,N422,1
N201,N906,4
N202,N218,2
N202,N649,3
N202,N125,5
N203,N584,5
N203,N337,2
N203,N878,3
N204,N196,4
N204,N546,4
N204,N541,4
N205,N394,5
N205,N249,4
N205,N975,2
N206,N274,1
N206,N483,5
N206,N137,1
N207,N237,1
N207,N846,1
N207,N325,1
N208,N924,3
N208,N716,5
N208,N313,4
N209,N451,4
N209,N182,4
N209,N405,5
N210,N78,5
N210,N659,1
N210,N230,5
N211,N690,1
N211,N969,2
N211,N890,1
N212,N673,5
N212,N742,1
N212,N548,2
N213,N337,1
N213,N638,3
N213,N48,3
N214,N463,5
N214,N570,4
N214,N894,3
N215,N989,3
N215,N135,4
N215,N751,3
N216,N618,4
N216,N280,5
N216,N409,4
N217,N143,5
N217,N698,1
N217,N455,4
N218,N170,3
N218,N463,2
N218,N920,1
N219,N902,4
N219,N135,3
N219,N976,2
N220,N627,5
N220,N472,2
N220,N290,5
N221,N685,2
N221,N129,3
N221,N582,1
N222,N371,1
N222,N357,5
N222,N200,5
N223,N219,5
N223,N51,4
N223,N514,1
N224,N422,2
N224,N867,3
N224,N965,3
N225,N231,1
N225,N684,2
N225,N420,4
N226,N714,3
N226,N863,1
N226,N484,3
N227,N147,2
N227,N85,2
N227,N117,4
N228,N809,5
N228,N661,4
N228,N792,3
N229,N237,5
N229,N863,5
N229,N372,3
N230,N639,5
N230,N275,2
N230,N390,4
N231,N388,4
N231,N645,2
N231,N759,5
N232,N151,5
N232,N605,4
N232,N785,5
N233,N371,4
N233,N590,5
N233,N507,2
N234,N420,2
N234,N826,5
N234,N774,5
N235,N144,1
N235,N166,2
N235,N982,5
N236,N102,4
N236,N305,4
N236,N376,5
N237,N212,1
N237,N422,5
N237,N862,5
N238,N471,4
N238,N906,4
N238,N531,1
N239,N419,3
N239,N325,4
N239,N272,2
N240,N54,2
N240,N228,4
N240,N931,3
N241,N904,3
N241,N103,5
N241,N365,5
N242,N206,5
N242,N808,3
N242,N194,4
N243,N110,2
N243,N540,3
N243,N755,4
N244,N309,3
N244,N333,1
N244,N298,1
N245,N21,1
N245,N862,2
N245,N755,2
N246,N500,4
N246,N453,3
N246,N753,2
N247,N778,1
N247,N91,5
N247,N157,2
N248,N839,3
N248,N330,2
N248,N868,4
N249,N682,2
N249,N796,1
N249,N208,4
N250,N651,1
N250,N938,1
