source,target,weight
N176,N177,4
N177,N178,5
N178,N179,4
N179,N180,5
N180,N181,4
N181,N182,3
N182,N183,2
N183,N184,5
N184,N185,1
N185,N186,3
N186,N187,2
N187,N188,1
N188,N189,3
N189,N190,1
N190,N191,2
N191,N192,1
N192,N193,4
N193,N194,2
N194,N195,4
N195,N196,5
N196,N197,1
N197,N198,2
N198,N199,3
N199,N200,1
N200,N201,4
N201,N202,4
N202,N203,2
N203,N204,3
N204,N205,4
N205,N206,4
N206,N207,4
N207,N208,4
N208,N209,5
N209,N210,2
N210,N211,3
N211,N212,5
N212,N213,5
N213,N214,3
N214,N215,2
N215,N216,4
N216,N217,1
N217,N218,5
N218,N219,3
N219,N220,2
N220,N221,5
N221,N222,3
N222,N223,1
N223,N224,1
N224,N225,3
N225,N226,1
N226,N227,1
N227,N228,2
N228,N229,5
N229,N230,1
N230,N231,4
N231,N232,5
N232,N233,4
N233,N234,3
N234,N235,5
N235,N236,4
N236,N237,3
N237,N238,3
N238,N239,3
N239,N240,4
N240,N241,1
N241,N242,1
N242,N243,1
N243,N244,1
N244,N245,4
N245,N246,1
N246,N247,3
N247,N248,2
N248,N249,3
N249,N250,2
N250,N251,5
N251,N252,3
N252,N253,2
N253,N254,5
N254,N255,2
N255,N256,5
N256,N257,1
N257,N258,2
N258,N259,4
N259,N260,4
N260,N261,5
N261,N262,5
N262,N263,3
N263,N264,2
N264,N265,3
N265,N266,3
N266,N267,1
N267,N268,1
N268,N269,4
N269,N270,3
N270,N271,5
N271,N272,2
N272,N273,3
N273,N274,2
N274,N275,3
N275,N276,5
N276,N277,3
N277,N278,1
N278,N279,5
N279,N280,2
N280,N281,1
N281,N282,4
N282,N283,1
N283,N284,4
N284,N285,4
N285,N286,2
N286,N287,3
N287,N288,1
N288,N289,5
N289,N290,5
N290,N291,3
N291,N292,2
N292,N293,5
N293,N294,5
N294,N295,1
N295,N296,5
N296,N297,4
N297,N298,1
N298,N299,3
N299,N300,2
N300,N301,3
N301,N302,3
N302,N303,1
N303,N304,4
N304,N305,5
N305,N306,5
N306,N307,5
N307,N308,4
N308,N309,5
N309,N310,2
N310,N311,1
N311,N312,3
N312,N313,2
N313,N314,2
N314,N315,1
N315,N316,2
N316,N317,3
N317,N318,5
N318,N319,3
N319,N320,3
N320,N321,5
N321,N322,2
N322,N323,5
N323,N324,4
N324,N325,3
N325,N326,3
N326,N327,1
N327,N328,1
N328,N329,1
N329,N330,3
N330,N331,3
N331,N332,5
N332,N333,1
N333,N334,4
N334,N335,5
N335,N336,3
N336,N337,3
N337,N338,5
N338,N339,1
N339,N340,4
N340,N341,5
N341,N342,4
N342,N343,4
N343,N344,4
N344,N345,4
N345,N346,1
N346,N347,1
N347,N348,1
N348,N349,5
N349,N350,1
N350,N351,2
N351,N352,5
N352,N353,3
N353,N354,4
N354,N355,4
N355,N356,4
N356,N357,4
N357,N358,4
N358,N359,1
N359,N360,4
N360,N361,2
N361,N362,1
N362,N363,1
N363,N364,5
N364,N365,4
N365,N366,1
N366,N367,2
N367,N368,5
N368,N369,4
N369,N370,4
N370,N371,3
N371,N372,4
N372,N373,1
N373,N374,3
N374,N375,2
N375,N376,2
N376,N377,4
N377,N378,5
N378,N379,1
N379,N380,2
N380,N381,2
N381,N382,1
N382,N383,3
N383,N384,5
N384,N385,1
N385,N386,1
N386,N387,4
N387,N388,2
N388,N389,5
N389,N390,1
N390,N391,1
N391,N392,4
N392,N393,3
N393,N394,3
N394,N395,2
N395,N396,1
N396,N397,3
N397,N398,2
N398,N399,2
N399,N400,2
N400,N401,3
N401,N402,1
N402,N403,5
N403,N404,4
N404,N405,3
N405,N406,5
N406,N407,2
N407,N408,1
N408,N409,1
N409,N410,4
N410,N411,5
N411,N412,2
N412,N413,5
N413,N414,5
N414,N415,1
N415,N416,3
N416,N417,2
N417,N418,2
N418,N419,1
N419,N420,3
N420,N421,5
N421,N422,3
N422,N423,4
N423,N424,1
N424,N425,3
N425,N426,2
N426,N427,2
N427,N428,3
N428,N429,5
N429,N430,3
N430,N431,5
N431,N432,2
N432,N433,3
N433,N434,3
N434,N435,4
N435,N436,2
N436,N437,3
N437,N438,2
N438,N439,4
N439,N440,4
N440,N441,2
N441,N442,3
N442,N443,4
N443,N444,4
N444,N445,2
N445,N446,3
N446,N447,1
N447,N448,2
N448,N449,3
N449,N450,2
N450,N451,1
N451,N452,1
N452,N453,4
N453,N454,3
N454,N455,5
N455,N456,2
N456,N457,4
N457,N458,3
N458,N459,5
N459,N460,5
N460,N461,4
N461,N462,5
N462,N463,1
N463,N464,1
N464,N465,1
N465,N466,3
N466,N467,4
N467,N468,5
N468,N469,1
N469,N470,4
N470,N471,2
N471,N472,5
N472,N473,1
N473,N474,5
N474,N475,4
N475,N476,4
N476,N477,5
N477,N478,1
N478,N479,3
N479,N480,1
N480,N481,5
N481,N482,3
N482,N483,2
N483,N484,2
N484,N485,2
N485,N486,1
N486,N487,4
N487,N488,5
N488,N489,4
N489,N490,2
N490,N491,1
N491,N492,3
N492,N493,5
N493,N494,3
N494,N495,2
N495,N496,3
N496,N497,3
N497,N498,1
N498,N499,3
N499,N500,4
N500,N501,5
N501,N502,5
N502,N503,1
N503,N504,3
N504,N505,1
N505,N506,4
N506,N507,3
N507,N508,2
N508,N509,2
N509,N510,4
N510,N511,1
N511,N512,1
N512,N513,1
N513,N514,4
N514,N515,5
N515,N516,4
N516,N517,2
N517,N518,3
N518,N519,5
N519,N520,3
N520,N521,1
N521,N522,3
N522,N523,3
N523,N524,2
N524,N525,2
N525,N526,5
N526,N527,1
N527,N528,5
N528,N529,3
N529,N530,1
N530,N531,4
N531,N532,4
N532,N533,2
N533,N534,5
N534,N535,4
N535,N536,1
N536,N537,5
N537,N538,2
N538,N539,1
N539,N540,3
N540,N541,5
N541,N542,5
N542,N543,3
N543,N544,5
N544,N545,3
N545,N546,3
N546,N547,4
N547,N548,4
N548,N549,5
N549,N550,3
N550,N551,5
N551,N552,3
N552,N553,1
N553,N554,2
N554,N555,4
N555,N556,3
N556,N557,2
N557,N558,2
N558,N559,1
N559,N560,2
N560,N561,1
N561,N562,2
N562,N563,5
N563,N564,3
N564,N565,5
N565,N566,4
N566,N567,5
N567,N568,1
N568,N569,4
N569,N570,4
N570,N571,3
N571,N572,4
N572,N573,4
N573,N574,5
N574,N575,1
N575,N576,1
N576,N577,5
N577,N578,5
N578,N579,1
N579,N580,2
N580,N581,5
N581,N582,5
N582,N583,4
N583,N584,3
N584,N585,4
N585,N586,1
N586,N587,2
N587,N588,3
N588,N589,5
N589,N590,3
N590,N591,5
N591,N592,4
N592,N593,1
N593,N594,5
N594,N595,4
N595,N596,3
N596,N597,4
N597,N598,2
N598,N599,5
N599,N600,3
N600,N601,3
N601,N602,4
N602,N603,4
N603,N604,1
N604,N605,2
N605,N606,3
N606,N607,2
N607,N608,4
N608,N609,2
N609,N610,2
N610,N611,4
N611,N612,1
N612,N613,4
N613,N614,2
N614,N615,4
N615,N616,3
N616,N617,3
N617,N618,3
N618,N619,4
N619,N620,3
N620,N621,5
N621,N622,1
N622,N623,4
N623,N624,1
N624,N625,2
N625,N626,4
N626,N627,4
N627,N628,5
N628,N629,5
N629,N630,2
N630,N631,4
N631,N632,2
N632,N633,2
N633,N634,2
N634,N635,4
N635,N636,2
N636,N637,4
N637,N638,2
N638,N639,4
N639,N640,1
N640,N641,1
N641,N642,4
N642,N643,1
N643,N644,2
N644,N645,1
N645,N646,2
N646,N647,1
N647,N648,4
N648,N649,5
N649,N650,3
N650,N651,2
N651,N652,3
N652,N653,1
N653,N654,5
N654,N655,1
N655,N656,1
N656,N657,5
N657,N658,1
N658,N659,1
N659,N660,5
N660,N661,1
N661,N662,3
N662,N663,5
N663,N664,4
N664,N665,2
N665,N666,2
N666,N667,1
N667,N668,2
N668,N669,5
N669,N670,5
N670,N671,2
N671,N672,3
N672,N673,5
N673,N674,4
N674,N675,4
N675,N676,2
N676,N677,2
N677,N678,1
N678,N679,2
N679,N680,1
N680,N681,1
N681,N682,1
N682,N683,3
N683,N684,3
N684,N685,1
N685,N686,5
N686,N687,5
N687,N688,4
N688,N689,1
N689,N690,2
N690,N691,1
N691,N692,2
N692,N693,1
N693,N694,2
N694,N695,1
N695,N696,4
N696,N697,3
N697,N698,4
N698,N699,3
N699,N700,2
N700,N701,3
N701,N702,5
N702,N703,2
N703,N704,4
N704,N705,3
N705,N706,1
N706,N707,3
N707,N708,3
N708,N709,4
N709,N710,3
N710,N711,1
N711,N712,2
N712,N713,3
N713,N714,3
N714,N715,5
N715,N716,5
N716,N717,1
N717,N718,1
N718,N719,1
N719,N720,5
N720,N721,5
N721,N722,1
N722,N723,3
N723,N724,3
N724,N725,4
N725,N726,3
N726,N727,4
N727,N728,4
N728,N729,4
N729,N730,5
N730,N731,3
N731,N732,4
N732,N733,3
N733,N734,5
N734,N735,4
N735,N736,4
N736,N737,2
N737,N738,5
N738,N739,4
N739,N740,2
N740,N741,4
N741,N742,3
N742,N743,1
N743,N744,2
N744,N745,2
N745,N746,4
N746,N747,4
N747,N748,2
N748,N749,4
N749,N750,1
N750,N751,5
N751,N752,1
N752,N753,2
N753,N754,4
N754,N755,1
N755,N756,2
N756,N757,1
N757,N758,1
N758,N759,4
N759,N760,1
N760,N761,1
N761,N762,5
N762,N763,4
N763,N764,5
N764,N765,1
N765,N766,4
N766,N767,3
N767,N768,3
N768,N769,1
N769,N770,5
N770,N771,1
N771,N772,2
N772,N773,3
N773,N774,1
N774,N775,3
N775,N776,1
N776,N777,3
N777,N778,4
N778,N779,1
N779,N780,3
N780,N781,3
N781,N782,5
N782,N783,5
N783,N784,1
N784,N785,3
N785,N786,1
N786,N787,5
N787,N788,5
N788,N789,5
N789,N790,2
N790,N791,2
N791,N792,5
N792,N793,5
N793,N794,1
N794,N795,3
N795,N796,4
N796,N797,2
N797,N798,1
N798,N799,1
N799,N800,2
N800,N801,1
N801,N802,1
N802,N803,3
N803,N804,2
N804,N805,4
N805,N806,4
N806,N807,4
N807,N808,5
N808,N809,4
N809,N810,4
N810,N811,1
N811,N812,2
N812,N813,5
N813,N814,3
N814,N815,3
N815,N816,5
N816,N817,1
N817,N818,1
N818,N819,2
N819,N820,2
N820,N821,1
N821,N822,3
N822,N823,1
N823,N824,4
N824,N825,5
N825,N826,4
N826,N827,4
N827,N828,2
N828,N829,4
N829,N830,2
N830,N831,1
N831,N832,4
N832,N833,5
N833,N834,4
N834,N835,3
N835,N836,5
N836,N837,3
N837,N838,5
N838,N839,3
N839,N840,5
N840,N841,3
N841,N842,1
N842,N843,3
N843,N844,4
N844,N845,2
N845,N846,4
N846,N847,2
N847,N848,3
N848,N849,5
N849,N850,2
N850,N851,5
N851,N852,4
N852,N853,3
N853,N854,2
N854,N855,2
N855,N856,5
N856,N857,3
N857,N858,4
N858,N859,5
N859,N860,4
N860,N861,2
N861,N862,2
N862,N863,3
N863,N864,3
N864,N865,2
N865,N866,4
N866,N867,5
N867,N868,3
N868,N869,1
N869,N870,5
N870,N871,2
N871,N872,1
N872,N873,5
N873,N874,5
N874,N875,2
N875,N876,2
N876,N877,4
N877,N878,4
N878,N879,2
N879,N880,5
N880,N881,4
N881,N882,3
N882,N883,2
N883,N884,2
N884,N885,3
N885,N886,5
N886,N887,2
N887,N888,5
N888,N889,4
N889,N890,5
N890,N891,5
N891,N892,2
N892,N893,5
N893,N894,2
N894,N895,1
N895,N896,1
N896,N897,5
N897,N898,3
N898,N899,3
N899,N900,3
N900,N901,4
N901,N902,5
N902,N903,1
N903,N904,2
N904,N905,3
N905,N906,5
N906,N907,3
N907,N908,4
N908,N909,4
N909,N910,1
N910,N911,2
N911,N912,5
N912,N913,4
N913,N914,2
N914,N915,3
N915,N916,3
N916,N917,4
N917,N918,5
N918,N919,5
N919,N920,1
N920,N921,5
N921,N922,5
N922,N923,1
N923,N924,1
N924,N925,4
N925,N926,1
N926,N927,4
N927,N928,2
N928,N929,2
N929,N930,5
N930,N931,2
N931,N932,2
N932,N933,4
N933,N934,3
N934,N935,4
N935,N936,3
N936,N937,5
N937,N938,2
N938,N939,2
N939,N940,3
N940,N941,5
N941,N942,4
N942,N943,4
N943,N944,4
N944,N945,1
N945,N946,1
N946,N947,5
N947,N948,4
N948,N949,4
N949,N950,4
N950,N951,5
N951,N952,5
N952,N953,1
N953,N954,4
N954,N955,1
N955,N956,2
N956,N957,4
N957,N958,3
N958,N959,3
N959,N960,3
N960,N961,1
N961,N962,2
N962,N963,4
N963,N964,4
N964,N965,2
N965,N966,1
N966,N967,3
N967,N968,3
N968,N969,1
N969,N970,4
N970,N971,3
N971,N972,4
N972,N973,1
N973,N974,4
N974,N975,4
N975,N976,3
N976,N977,5
N977,N978,3
N978,N979,4
N979,N980,5
N980,N981,2
N981,N982,2
N982,N983,1
N983,N984,1
N984,N985,2
N985,N986,2
N986,N987,2
N987,N988,1
N988,N989,4
N989,N990,3
N990,N991,1
N991,N992,3
N992,N993,5
N993,N994,3
N994,N995,4
N995,N996,3
N996,N997,4
N997,N998,3
N998,N999,2
N999,N1000,1
N1000,N1001,3
N1001,N1002,5
N1002,N1003,1
N1003,N1004,4
N1004,N1005,4
N1005,N1006,2
N1006,N1007,4
N1007,N1008,4
N1008,N1009,3
N1009,N1010,4
N1010,N1011,2
N1011,N1012,1
N1012,N1013,4
N1013,N1014,4
N1014,N1015,1
N1015,N1016,2
N1016,N1017,4
N1017,N1018,1
N1018,N1019,4
N1019,N1020,2
N1020,N1021,5
N1021,N1022,2
N1022,N1023,3
N1023,N1024,2
N1024,N1025,5
N1025,N1026,2
N1026,N1027,3
N1027,N1028,2
N1028,N1029,4
N1029,N1030,2
N1030,N1031,4
N1031,N1032,2
N1032,N1033,4
N1033,N1034,2
N1034,N1035,5
N1035,N1036,3
N1036,N1037,5
N1037,N1038,3
N1038,N1039,5
N1039,N1040,4
N1040,N1041,4
N1041,N1042,3
N1042,N1043,3
N1043,N1044,2
N1044,N1045,4
N1045,N1046,2
N1046,N1047,3
N1047,N1048,3
N1048,N1049,4
N1049,N1050,3
N1050,N1051,2
N1051,N1052,2
N1052,N1053,4
N1053,N1054,2
N1054,N1055,3
N1055,N1056,1
N1056,N1057,1
N1057,N1058,3
N1058,N1059,2
N1059,N1060,3
N1060,N1061,4
N1061,N1062,5
N1062,N1063,1
N1063,N1064,3
N1064,N1065,1
N1065,N1066,1
N1066,N1067,1
N1067,N1068,3
N1068,N1069,4
N1069,N1070,4
N1070,N1071,2
N1071,N1072,4
N1072,N1073,3
N1073,N1074,4
N1074,N1075,5
N1075,N1076,4
N1076,N1077,4
N1077,N1078,3
N1078,N1079,1
N1079,N1080,5
N1080,N1081,1
N1081,N1082,5
N1082,N1083,1
N1083,N1084,1
N1084,N1085,1
N1085,N1086,3
N1086,N1087,5
N1087,N1088,4
N1088,N1089,3
N1089,N1090,3
N1090,N1091,4
N1091,N1092,3
N1092,N1093,5
N1093,N1094,2
N1094,N1095,1
N1095,N1096,5
N1096,N1097,3
N1097,N1098,1
N1098,N1099,5
N1099,N1100,2
N1100,N1101,2
N1101,N1102,1
N1102,N1103,3
N1103,N1104,1
N1104,N1105,4
N1105,N1106,3
N1106,N1107,2
N1107,N1108,2
N1108,N1109,5
N1109,N1110,3
N1110,N1111,1
N1111,N1112,3
N1112,N1113,3
N1113,N1114,5
N1114,N1115,2
N1115,N1116,5
N1116,N1117,1
N1117,N1118,2
N1118,N1119,3
N1119,N1120,2
N1120,N1121,3
N1121,N1122,2
N1122,N1123,4
N1123,N1124,3
N1124,N1125,3
N1125,N1126,4
N1126,N1127,2
N1127,N1128,3
N1128,N1129,5
N1129,N1130,3
N1130,N1131,1
N1131,N1132,2
N1132,N1133,5
N1133,N1134,5
N1134,N1135,1
N1135,N1136,2
N1136,N1137,3
N1137,N1138,4
N1138,N1139,5
N1139,N1140,2
N1140,N1141,4
N1141,N1142,5
N1142,N1143,4
N1143,N1144,3
N1144,N1145,3
N1145,N1146,4
N1146,N1147,1
N1147,N1148,2
N1148,N1149,1
N1149,N1150,5
N1150,N1151,2
N1151,N1152,4
N1152,N1153,2
N1153,N1154,2
N1154,N1155,2
N1155,N1156,5
N1156,N1157,5
N1157,N1158,5
N1158,N1159,1
N1159,N1160,5
N1160,N1161,4
N1161,N1162,1
N1162,N1163,1
N1163,N1164,2
N1164,N1165,5
N1165,N1166,4
N1166,N1167,5
N1167,N1168,5
N1168,N1169,4
N1169,N1170,5
N1170,N1171,3
N1171,N1172,5
N1172,N1173,2
N1173,N1174,2
N1174,N1175,1
N1175,N1176,4
N1176,N1177,1
N1177,N1178,4
N1178,N1179,3
N1179,N1180,5
N1180,N1181,2
N1181,N1182,3
N1182,N1183,5
N1183,N1184,5
N1184,N1185,2
N1185,N1186,1
N1186,N1187,5
N1187,N1188,5
N1188,N1189,4
N1189,N1190,2
N1190,N1191,3
N1191,N1192,4
N1192,N1193,4
N1193,N1194,1
N1194,N1195,2
N1195,N1196,4
N1196,N1197,3
N1197,N1198,5
N1198,N1199,1
N1199,N1200,2
N1200,N1201,1
N1201,N1202,2
N1202,N1203,2
N1203,N1204,4
N1204,N1205,3
N1205,N1206,2
N1206,N1207,3
N1207,N1208,5
N1208,N1209,5
N1209,N1210,2
N1210,N1211,2
N1211,N1212,1
N1212,N1213,1
N1213,N1214,2
N1214,N1215,5
N1215,N1216,5
N1216,N1217,3
N1217,N1218,4
N1218,N1219,3
N1219,N1220,2
N1220,N1221,3
N1221,N1222,1
N1222,N1223,4
N1223,N1224,2
N1224,N1225,3
N1225,N1226,3
N1226,N1227,4
N1227,N1228,5
N1228,N1229,3
N1229,N1230,1
N1230,N1231,2
N1231,N1232,1
N1232,N1233,1
N1233,N1234,3
N1234,N1235,4
N1235,N1236,2
N1236,N1237,3
N1237,N1238,1
N1238,N1239,5
N1239,N1240,5
N1240,N1241,2
N1241,N1242,5
N1242,N1243,1
N1243,N1244,3
N1244,N1245,5
N1245,N1246,3
N1246,N1247,1
N1247,N1248,1
N1248,N1249,1
N1249,N1250,4
N1250,N1251,2
N1251,N1252,5
N1252,N1253,4
N1253,N1254,2
N1254,N1255,5
N1255,N1256,4
N1256,N1257,3
N1257,N1258,2
N1258,N1259,1
N1259,N1260,2
N1260,N1261,4
N1261,N1262,3
N1262,N1263,5
N1263,N1264,2
N1264,N1265,1
N1265,N1266,2
N1266,N1267,2
N1267,N1268,1
N1268,N1269,4
N1269,N1270,2
N1270,N1271,3
N1271,N1272,4
N1272,N1273,2
N1273,N1274,3
N1274,N1275,1
N1275,N1276,1
N1276,N1277,5
N1277,N1278,2
N1278,N1279,3
N1279,N1280,1
N1280,N1281,4
N1281,N1282,1
N1282,N1283,3
N1283,N1284,5
N1284,N1285,1
N1285,N1286,5
N1286,N1287,3
N1287,N1288,2
N1288,N1289,5
N1289,N1290,1
N1290,N1291,4
N1291,N1292,4
N1292,N1293,4
N1293,N1294,3
N1294,N1295,1
N1295,N1296,1
N1296,N1297,1
N1297,N1298,3
N1298,N1299,2
N1299,N1300,4
N1300,N1301,5
N1301,N1302,4
N1302,N1303,4
N1303,N1304,5
N1304,N1305,4
N1305,N1306,5
N1306,N1307,1
N1307,N1308,2
N1308,N1309,2
N1309,N1310,5
N1310,N1311,4
N1311,N1312,3
N1312,N1313,1
N1313,N1314,3
N1314,N1315,5
N1315,N1316,5
N1316,N1317,3
N1317,N1318,3
N1318,N1319,4
N1319,N1320,2
N1320,N1321,5
N1321,N1322,3
N1322,N1323,4
N1323,N1324,5
N1324,N1325,5
N1325,N1326,1
N1326,N1327,2
N1327,N1328,1
N1328,N1329,2
N1329,N1330,5
N1330,N1331,5
N1331,N1332,5
N1332,N1333,5
N1333,N1334,5
N1334,N1335,1
N1335,N1336,3
N1336,N1337,2
N1337,N1338,3
N1338,N1339,3
N1339,N1340,2
N1340,N1341,3
N1341,N1342,1
N1342,N1343,2
N1343,N1344,5
N1344,N1345,2
N1345,N1346,5
N1346,N1347,5
N1347,N1348,5
N1348,N1349,2
N1349,N1350,2
N1350,N1351,1
N1351,N1352,5
N1352,N1353,4
N1353,N1354,1
N1354,N1355,1
N1355,N1356,4
N1356,N1357,4
N1357,N1358,4
N1358,N1359,4
N1359,N1360,2
N1360,N1361,2
N1361,N1362,1
N1362,N1363,1
N1363,N1364,1
N1364,N1365,3
N1365,N1366,5
N1366,N1367,2
N1367,N1368,4
N1368,N1369,3
N1369,N1370,1
N1370,N1371,1
N1371,N1372,3
N1372,N1373,5
N1373,N1374,1
N1374,N1375,5
N1375,N1376,4
N1376,N1377,2
N1377,N1378,2
N1378,N1379,4
N1379,N1380,1
N1380,N1381,4
N1381,N1382,1
N1382,N1383,5
N1383,N1384,1
N1384,N1385,2
N1385,N1386,4
N1386,N1387,4
N1387,N1388,3
N1388,N1389,3
N1389,N1390,4
N1390,N1391,5
N1391,N1392,1
N1392,N1393,4
N1393,N1394,5
N1394,N1395,2
N1395,N1396,5
N1396,N1397,1
N1397,N1398,1
N1398,N1399,2
N1399,N1400,3
N1400,N1401,3
N1401,N1402,3
N1402,N1403,2
N1403,N1404,5
N1404,N1405,5
N1405,N1406,1
N1406,N1407,3
N1407,N1408,2
N1408,N1409,2
N1409,N1410,3
N1410,N1411,5
N1411,N1412,3
N1412,N1413,1
N1413,N1414,4
N1414,N1415,5
N1415,N1416,2
N1416,N1417,2
N1417,N1418,2
N1418,N1419,2
N1419,N1420,4
N1420,N1421,1
N1421,N1422,3
N1422,N1423,1
N1423,N1424,1
N1424,N1425,1
N1425,N1426,3
N1426,N1427,1
N1427,N1428,3
N1428,N1429,3
N1429,N1430,5
N1430,N1431,3
N1431,N1432,2
N1432,N1433,1
N1433,N1434,4
N1434,N1435,5
N1435,N1436,4
N1436,N1437,2
N1437,N1438,5
N1438,N1439,4
N1439,N1440,4
N1440,N1441,3
N1441,N1442,1
N1442,N1443,3
N1443,N1444,2
N1444,N1445,4
N1445,N1446,1
N1446,N1447,4
N1447,N1448,2
N1448,N1449,1
N1449,N1450,1
N1450,N1451,3
N1451,N1452,4
N1452,N1453,2
N1453,N1454,5
N1454,N1455,4
N1455,N1456,3
N1456,N1457,4
N1457,N1458,4
N1458,N1459,2
N1459,N1460,5
N1460,N1461,1
N1461,N1462,3
N1462,N1463,4
N1463,N1464,5
N1464,N1465,1
N1465,N1466,4
N1466,N1467,1
N1467,N1468,3
N1468,N1469,3
N1469,N1470,5
N1470,N1471,5
N1471,N1472,5
N1472,N1473,4
N1473,N1474,4
N1474,N1475,2
N1475,N1476,5
N1476,N1477,5
N1477,N1478,3
N1478,N1479,5
N1479,N1480,4
N1480,N1481,4
N1481,N1482,2
N1482,N1483,5
N1483,N1484,3
N1484,N1485,2
N1485,N1486,2
N1486,N1487,2
N1487,N1488,1
N1488,N1489,5
N1489,N1490,1
N1490,N1491,2
N1491,N1492,1
N1492,N1493,4
N1493,N1494,3
N1494,N1495,2
N1495,N1496,1
N1496,N1497,5
N1497,N1498,2
N1498,N1499,2
N1499,N1500,5
N1500,N1501,1
N1501,N1502,3
N1502,N1503,4
N1503,N1504,5
N1504,N1505,1
N1505,N1506,1
N1506,N1507,4
N1507,N1508,1
N1508,N1509,5
N1509,N1510,2
N1510,N1511,1
N1511,N1512,4
N1512,N1513,3
N1513,N1514,4
N1514,N1515,4
N1515,N1516,2
N1516,N1517,3
N1517,N1518,5
N1518,N1519,5
N1519,N1520,2
N1520,N1521,3
N1521,N1522,1
N1522,N1523,3
N1523,N1524,3
N1524,N1525,3
N1525,N1526,2
N1526,N1527,4
N1527,N1528,3
N1528,N1529,5
N1529,N1530,5
N1530,N1531,5
N1531,N1532,4
N1532,N1533,3
N1533,N1534,2
N1534,N1535,4
N1535,N1536,1
N1536,N1537,5
N1537,N1538,3
N1538,N1539,4
N1539,N1540,4
N1540,N1541,2
N1541,N1542,4
N1542,N1543,4
N1543,N1544,2
N1544,N1545,5
N1545,N1546,1
N1546,N1547,4
N1547,N1548,5
N1548,N1549,4
N1549,N1550,3
N1550,N1551,4
N1551,N1552,1
N1552,N1553,4
N1553,N1554,5
N1554,N1555,5
N1555,N1556,4
N1556,N1557,2
N1557,N1558,2
N1558,N1559,1
N1559,N1560,1
N1560,N1561,1
N1561,N1562,1
N1562,N1563,4
N1563,N1564,2
N1564,N1565,5
N1565,N1566,1
N1566,N1567,3
N1567,N1568,2
N1568,N1569,5
N1569,N1570,5
N1570,N1571,2
N1571,N1572,4
N1572,N1573,3
N1573,N1574,2
N1574,N1575,2
N1575,N1576,1
N1576,N1577,1
N1577,N1578,2
N1578,N1579,2
N1579,N1580,3
N1580,N1581,1
N1581,N1582,5
N1582,N1583,4
N1583,N1584,1
N1584,N1585,5
N1585,N1586,5
N1586,N1587,2
N1587,N1588,4
N1588,N1589,2
N1589,N1590,4
N1590,N1591,5
N1591,N1592,1
N1592,N1593,4
N1593,N1594,1
N1594,N1595,3
N1595,N1596,2
N1596,N1597,1
N1597,N1598,5
N1598,N1599,4
