source,target,weight
N14,N62,3
N14,N47,3
N15,N21,2
N15,N75,4
N15,N83,2
N16,N88,5
N16,N36,1
N16,N8,1
N17,N30,5
N17,N30,1
N17,N9,4
N18,N66,5
N18,N26,1
N18,N72,3
N19,N86,4
N19,N49,1
N19,N3,5
N20,N18,1
N20,N91,4
N20,N5,3
N21,N12,5
N21,N59,2
N21,N89,3
N22,N3,2
N22,N96,1
N22,N46,4
N23,N96,3
N23,N46,1
N23,N98,2
N24,N13,2
N24,N53,1
N24,N57,3
N25,N9,1
N25,N90,2
N25,N3,4
N26,N5,4
N26,N55,2
N26,N38,3
N27,N80,3
N27,N80,3
N27,N87,3
N28,N42,3
N28,N40,4
N28,N11,3
N29,N91,4
N29,N48,2
N29,N35,3
N30,N6,1
N30,N57,2
N30,N24,5
N31,N93,1
N31,N95,3
N31,N66,2
N32,N29,5
N32,N15,1
N32,N67,5
N33,N69,5
N33,N28,1
N33,N29,2
N34,N28,5
N34,N98,1
N34,N71,4
N35,N60,5
N35,N34,5
N35,N95,2
N36,N76,4
N36,N45,3
N36,N5,5
N37,N79,5
N37,N41,3
N38,N88,3
N38,N14,5
N38,N42,2
N39,N73,5
N39,N4,1
N39,N100,4
N40,N97,4
N40,N20,3
N40,N93,3
N41,N54,5
N41,N30,4
N41,N93,5
N42,N9,3
N42,N23,2
N42,N33,1
N43,N95,1
N43,N100,5
N43,N18,4
N44,N49,4
N44,N53,5
N44,N36,2
N45,N27,1
N45,N36,2
N45,N41,3
N46,N89,1
N46,N36,2
N46,N65,2
N47,N91,5
N47,N26,3
N48,N13,2
N48,N74,2
N48,N43,1
N49,N5,5
N49,N89,5
N49,N21,1
N50,N78,1
N50,N60,4
N50,N49,5
N51,N45,2
N51,N68,5
N51,N89,2
N52,N27,4
N52,N57,2
N52,N35,1
N53,N37,4
N53,N22,1
N53,N98,5
N54,N33,5
N54,N13,2
N55,N45,5
N55,N49,1
N55,N21,4
N56,N13,3
N56,N18,5
N56,N34,2
N57,N84,2
N57,N12,5
N57,N62,1
N58,N46,4
N58,N13,3
N58,N41,5
N59,N64,5
N59,N88,2
N59,N74,2
N60,N92,4
N60,N57,3
N60,N59,5
N61,N16,5
N61,N35,3
N61,N67,3
N62,N81,3
N62,N100,5
N62,N7,4
N63,N60,3
N63,N65,1
N63,N67,1
N64,N83,4
N64,N24,4
N64,N97,5
N65,N23,3
N65,N66,1
N65,N95,4
N66,N80,5
N66,N39,1
N66,N8,2
N67,N80,1
N67,N42,4
N68,N10,3
N68,N14,4
N68,N100,5
N69,N15,4
N69,N80,5
N69,N76,5
N70,N20,5
N70,N92,5
N70,N53,5
N71,N37,1
N71,N10,5
N71,N62,5
N72,N54,5
N72,N1,5
N72,N12,2
N73,N57,5
N73,N93,4
N73,N98,2
N74,N76,3
N74,N66,5
N75,N66,3
N75,N78,4
N75,N29,5
N76,N71,2
N76,N87,5
N76,N8,2
N77,N97,2
N77,N81,5
N77,N72,1
N78,N12,5
N78,N84,5
N78,N74,4
N79,N84,5
N79,N7,3
N79,N29,4
N80,N44,4
N80,N77,3
N80,N32,1
N81,N46,4
N81,N26,1
N81,N40,3
N82,N1,3
N82,N38,1
N82,N19,3
N83,N44,2
N83,N60,5
N83,N25,3
N84,N41,4
N84,N33,3
N84,N57,5
N85,N82,3
N85,N93,4
N85,N37,5
N86,N33,4
N86,N36,1
N86,N85,2
N87,N3,5
N87,N23,5
N87,N61,5
N88,N99,2
N88,N80,4
N88,N5,5
N89,N40,2
N89,N51,5
N89,N29,4
N90,N82,4
N90,N54,3
N90,N8,2
N91,N15,4
N91,N77,3
N91,N17,4
N92,N2,5
N92,N17,3
N92,N53,3
N93,N21,3
N93,N9,5
N93,N53,1
N94,N30,3
N94,N15,4
N94,N73,2
N95,N62,3
N95,N20,5
N95,N65,5
N96,N69,5
N96,N86,5
N96,N51,3
N97,N96,4
N97,N5,1
N97,N40,4
N98,N20,2
N98,N1,2
N98,N94,3
N99,N15,5
N99,N68,3
N99,N83,5
N100,N91,5
N100,N36,3
N100,N78,1
