source,target,weight
N148,N149,5
N149,N150,3
N150,N151,5
N151,N152,4
N152,N153,1
N153,N154,1
N154,N155,4
N155,N156,3
N156,N157,5
N157,N158,4
N158,N159,5
N159,N160,3
N160,N161,1
N161,N162,2
N162,N163,1
N163,N164,1
N164,N165,4
N165,N166,1
N166,N167,4
N167,N168,4
N168,N169,1
N169,N170,3
N170,N171,4
N171,N172,5
N172,N173,5
N173,N174,2
N174,N175,4
N175,N176,2
N176,N177,4
N177,N178,5
N178,N179,3
N179,N180,2
N180,N181,4
N181,N182,1
N182,N183,3
N183,N184,1
N184,N185,3
N185,N186,1
N186,N187,5
N187,N188,2
N188,N189,1
N189,N190,3
N190,N191,5
N191,N192,4
N192,N193,4
N193,N194,2
N194,N195,4
N195,N196,1
N196,N197,4
N197,N198,2
N198,N199,3
N199,N200,4
N200,N201,2
N201,N202,5
N202,N203,2
N203,N204,1
N204,N205,5
N205,N206,4
N206,N207,2
N207,N208,2
N208,N209,4
N209,N210,3
N210,N211,3
N211,N212,1
N212,N213,1
N213,N214,3
N214,N215,2
N215,N216,5
N216,N217,3
N217,N218,4
N218,N219,2
N219,N220,5
N220,N221,1
N221,N222,4
N222,N223,1
N223,N224,3
N224,N225,5
N225,N226,3
N226,N227,4
N227,N228,1
N228,N229,5
N229,N230,5
N230,N231,1
N231,N232,5
N232,N233,2
N233,N234,2
N234,N235,4
N235,N236,1
N236,N237,2
N237,N238,4
N238,N239,3
N239,N240,4
N240,N241,2
N241,N242,2
N242,N243,1
N243,N244,2
N244,N245,2
N245,N246,4
N246,N247,1
N247,N248,5
N248,N249,4
N249,N250,2
N250,N251,2
N251,N252,5
N252,N253,3
N253,N254,3
N254,N255,3
N255,N256,3
N256,N257,1
N257,N258,5
N258,N259,5
N259,N260,4
N260,N261,2
N261,N262,5
N262,N263,3
N263,N264,1
N264,N265,5
N265,N266,3
N266,N267,1
N267,N268,4
N268,N269,5
N269,N270,2
N270,N271,1
N271,N272,1
N272,N273,3
N273,N274,3
N274,N275,5
N275,N276,3
N276,N277,4
N277,N278,4
N278,N279,1
N279,N280,1
N280,N281,1
N281,N282,3
N282,N283,3
N283,N284,1
N284,N285,2
N285,N286,5
N286,N287,2
N287,N288,1
N288,N289,4
N289,N290,4
N290,N291,1
N291,N292,3
N292,N293,5
N293,N294,1
N294,N295,4
N295,N296,1
N296,N297,1
N297,N298,4
N298,N299,4
N299,N300,1
N300,N301,5
N301,N302,5
N302,N303,1
N303,N304,5
N304,N305,4
N305,N306,5
N306,N307,3
N307,N308,4
N308,N309,2
N309,N310,2
N310,N311,5
N311,N312,3
N312,N313,2
N313,N314,5
N314,N315,2
N315,N316,4
N316,N317,4
N317,N318,2
N318,N319,3
N319,N320,1
N320,N321,2
N321,N322,5
N322,N323,2
N323,N324,2
N324,N325,4
N325,N326,2
N326,N327,1
N327,N328,1
N328,N329,5
N329,N330,3
N330,N331,5
N331,N332,1
N332,N333,2
N333,N334,4
N334,N335,1
N335,N336,3
N336,N337,3
N337,N338,5
N338,N339,2
N339,N340,4
N340,N341,2
N341,N342,3
N342,N343,3
N343,N344,3
N344,N345,4
N345,N346,5
N346,N347,4
N347,N348,2
N348,N349,5
N349,N350,5
N350,N351,5
N351,N352,5
N352,N353,3
N353,N354,3
N354,N355,4
N355,N356,1
N356,N357,2
N357,N358,2
N358,N359,2
N359,N360,3
N360,N361,2
N361,N362,1
N362,N363,2
N363,N364,2
N364,N365,3
N365,N366,1
N366,N367,3
N367,N368,3
N368,N369,5
N369,N370,4
N370,N371,2
N371,N372,5
N372,N373,1
N373,N374,1
N374,N375,1
N375,N376,5
N376,N377,1
N377,N378,1
N378,N379,4
N379,N380,4
N380,N381,3
N381,N382,1
N382,N383,5
N383,N384,1
N384,N385,5
N385,N386,1
N386,N387,1
N387,N388,1
N388,N389,3
N389,N390,1
N390,N391,3
N391,N392,5
N392,N393,2
N393,N394,4
N394,N395,4
N395,N396,2
N396,N397,2
N397,N398,1
N398,N399,5
N399,N400,5
N400,N401,1
N401,N402,2
N402,N403,3
N403,N404,2
N404,N405,5
N405,N406,1
N406,N407,1
N407,N408,1
N408,N409,2
N409,N410,5
N410,N411,2
N411,N412,3
N412,N413,2
N413,N414,2
N414,N415,1
N415,N416,3
N416,N417,3
N417,N418,4
N418,N419,4
N419,N420,3
N420,N421,5
N421,N422,5
N422,N423,2
N423,N424,2
N424,N425,2
N425,N426,1
N426,N427,5
N427,N428,5
N428,N429,3
N429,N430,3
N430,N431,2
N431,N432,4
N432,N433,1
N433,N434,4
N434,N435,4
N435,N436,4
N436,N437,4
N437,N438,3
N438,N439,1
N439,N440,4
N440,N441,2
N441,N442,5
N442,N443,4
N443,N444,2
N444,N445,1
N445,N446,2
N446,N447,4
N447,N448,3
N448,N449,4
N449,N450,3
N450,N451,3
N451,N452,1
N452,N453,2
N453,N454,1
N454,N455,3
N455,N456,4
N456,N457,2
N457,N458,1
N458,N459,2
N459,N460,5
N460,N461,3
N461,N462,1
N462,N463,5
N463,N464,4
N464,N465,4
N465,N466,5
N466,N467,3
N467,N468,4
N468,N469,4
N469,N470,4
N470,N471,3
N471,N472,4
N472,N473,5
N473,N474,3
N474,N475,5
N475,N476,2
N476,N477,2
N477,N478,2
N478,N479,5
N479,N480,3
N480,N481,5
N481,N482,3
N482,N483,4
N483,N484,1
N484,N485,4
N485,N486,5
N486,N487,3
N487,N488,2
N488,N489,5
N489,N490,3
N490,N491,3
N491,N492,5
N492,N493,4
N493,N494,1
N494,N495,4
N495,N496,4
N496,N497,1
N497,N498,4
N498,N499,1
N499,N500,3
N500,N501,3
N501,N502,3
N502,N503,1
N503,N504,1
N504,N505,5
N505,N506,3
N506,N507,1
N507,N508,1
N508,N509,5
N509,N510,2
N510,N511,5
N511,N512,5
N512,N513,1
N513,N514,5
N514,N515,5
N515,N516,1
N516,N517,5
N517,N518,4
N518,N519,4
N519,N520,2
N520,N521,1
N521,N522,3
N522,N523,3
N523,N524,4
N524,N525,2
N525,N526,5
N526,N527,3
N527,N528,4
N528,N529,2
N529,N530,2
N530,N531,4
N531,N532,5
N532,N533,5
N533,N534,4
N534,N535,3
N535,N536,1
N536,N537,3
N537,N538,1
N538,N539,1
N539,N540,3
N540,N541,1
N541,N542,4
N542,N543,4
N543,N544,5
N544,N545,4
N545,N546,4
N546,N547,4
N547,N548,2
N548,N549,5
N549,N550,5
N550,N551,4
N551,N552,3
N552,N553,4
N553,N554,5
N554,N555,5
N555,N556,1
N556,N557,5
N557,N558,5
N558,N559,2
N559,N560,1
N560,N561,2
N561,N562,1
N562,N563,1
N563,N564,3
N564,N565,5
N565,N566,1
N566,N567,4
N567,N568,4
N568,N569,1
N569,N570,4
N570,N571,4
N571,N572,4
N572,N573,1
N573,N574,1
N574,N575,4
N575,N576,3
N576,N577,2
N577,N578,5
N578,N579,1
N579,N580,5
N580,N581,4
N581,N582,5
N582,N583,5
N583,N584,1
N584,N585,5
N585,N586,4
N586,N587,2
N587,N588,2
N588,N589,4
N589,N590,1
N590,N591,3
N591,N592,1
N592,N593,5
N593,N594,1
N594,N595,5
N595,N596,5
N596,N597,5
N597,N598,3
N598,N599,4
N599,N600,1
N600,N601,4
N601,N602,2
N602,N603,1
N603,N604,2
N604,N605,2
N605,N606,3
N606,N607,2
N607,N608,1
N608,N609,2
N609,N610,4
N610,N611,2
N611,N612,5
N612,N613,2
N613,N614,1
N614,N615,2
N615,N616,2
N616,N617,1
N617,N618,1
N618,N619,4
N619,N620,1
N620,N621,1
N621,N622,2
N622,N623,3
N623,N624,4
N624,N625,1
N625,N626,2
N626,N627,5
N627,N628,2
N628,N629,2
N629,N630,1
N630,N631,4
N631,N632,5
N632,N633,3
N633,N634,3
N634,N635,3
N635,N636,4
N636,N637,4
N637,N638,4
N638,N639,2
N639,N640,5
N640,N641,3
N641,N642,3
N642,N643,5
N643,N644,1
N644,N645,5
N645,N646,1
N646,N647,1
N647,N648,4
N648,N649,2
N649,N650,5
N650,N651,5
N651,N652,1
N652,N653,1
N653,N654,1
N654,N655,1
N655,N656,5
N656,N657,1
N657,N658,5
N658,N659,1
N659,N660,4
N660,N661,3
N661,N662,2
N662,N663,4
N663,N664,5
N664,N665,2
N665,N666,5
N666,N667,1
N667,N668,3
N668,N669,1
N669,N670,5
N670,N671,4
N671,N672,4
N672,N673,2
N673,N674,4
N674,N675,5
N675,N676,4
N676,N677,3
N677,N678,3
N678,N679,1
N679,N680,2
N680,N681,4
N681,N682,5
N682,N683,3
N683,N684,4
N684,N685,3
N685,N686,5
N686,N687,3
N687,N688,1
N688,N689,4
N689,N690,3
N690,N691,5
N691,N692,4
N692,N693,4
N693,N694,2
N694,N695,4
N695,N696,5
N696,N697,5
N697,N698,3
N698,N699,3
N699,N700,1
N700,N701,4
N701,N702,1
N702,N703,3
N703,N704,4
N704,N705,5
N705,N706,5
N706,N707,4
N707,N708,5
N708,N709,3
N709,N710,2
N710,N711,1
N711,N712,3
N712,N713,1
N713,N714,3
N714,N715,1
N715,N716,1
N716,N717,1
N717,N718,2
N718,N719,5
N719,N720,2
N720,N721,1
N721,N722,5
N722,N723,2
N723,N724,5
N724,N725,1
N725,N726,2
N726,N727,1
N727,N728,4
N728,N729,4
N729,N730,2
N730,N731,3
N731,N732,4
N732,N733,3
N733,N734,4
N734,N735,1
N735,N736,1
N736,N737,1
N737,N738,5
N738,N739,1
N739,N740,5
N740,N741,4
N741,N742,3
N742,N743,4
N743,N744,5
N744,N745,2
N745,N746,4
N746,N747,2
N747,N748,4
N748,N749,5
N749,N750,4
N750,N751,4
N751,N752,4
N752,N753,3
N753,N754,3
N754,N755,1
N755,N756,4
N756,N757,3
N757,N758,2
N758,N759,5
N759,N760,5
N760,N761,5
N761,N762,4
N762,N763,3
N763,N764,2
N764,N765,5
N765,N766,2
N766,N767,1
N767,N768,4
N768,N769,1
N769,N770,5
N770,N771,1
N771,N772,4
N772,N773,3
N773,N774,5
N774,N775,2
N775,N776,3
N776,N777,1
N777,N778,1
N778,N779,4
N779,N780,1
N780,N781,2
N781,N782,3
N782,N783,2
N783,N784,4
N784,N785,1
N785,N786,4
N786,N787,4
N787,N788,3
N788,N789,1
N789,N790,1
N790,N791,2
N791,N792,2
N792,N793,1
N793,N794,2
N794,N795,3
N795,N796,2
N796,N797,3
N797,N798,2
N798,N799,3
N799,N800,1
N800,N801,3
N801,N802,4
N802,N803,4
N803,N804,4
N804,N805,5
N805,N806,2
N806,N807,4
N807,N808,3
N808,N809,4
N809,N810,3
N810,N811,4
N811,N812,3
N812,N813,3
N813,N814,1
N814,N815,4
N815,N816,5
N816,N817,5
N817,N818,3
N818,N819,3
N819,N820,5
N820,N821,4
N821,N822,3
N822,N823,1
N823,N824,5
N824,N825,1
N825,N826,3
N826,N827,4
N827,N828,2
N828,N829,1
N829,N830,1
N830,N831,5
N831,N832,5
N832,N833,4
N833,N834,4
N834,N835,5
N835,N836,3
N836,N837,4
N837,N838,1
N838,N839,3
N839,N840,3
N840,N841,3
N841,N842,5
N842,N843,1
N843,N844,5
N844,N845,2
N845,N846,1
N846,N847,4
N847,N848,2
N848,N849,2
N849,N850,1
N850,N851,4
N851,N852,4
N852,N853,3
N853,N854,4
N854,N855,4
N855,N856,2
N856,N857,5
N857,N858,1
N858,N859,1
N859,N860,4
N860,N861,1
N861,N862,2
N862,N863,4
N863,N864,4
N864,N865,4
N865,N866,2
N866,N867,1
N867,N868,5
N868,N869,3
N869,N870,4
N870,N871,1
N871,N872,2
N872,N873,1
N873,N874,3
N874,N875,1
N875,N876,3
N876,N877,3
N877,N878,3
N878,N879,1
N879,N880,4
N880,N881,5
N881,N882,3
N882,N883,4
N883,N884,1
N884,N885,4
N885,N886,1
N886,N887,4
N887,N888,3
N888,N889,1
N889,N890,5
N890,N891,5
N891,N892,2
N892,N893,3
N893,N894,5
N894,N895,3
N895,N896,5
N896,N897,5
N897,N898,1
N898,N899,3
N899,N900,4
N900,N901,4
N901,N902,1
N902,N903,5
N903,N904,1
N904,N905,1
N905,N906,3
N906,N907,2
N907,N908,3
N908,N909,3
N909,N910,1
N910,N911,3
N911,N912,5
N912,N913,3
N913,N914,4
N914,N915,5
N915,N916,1
N916,N917,4
N917,N918,3
N918,N919,3
N919,N920,1
N920,N921,4
N921,N922,1
N922,N923,4
N923,N924,2
N924,N925,2
N925,N926,4
N926,N927,4
N927,N928,5
N928,N929,3
N929,N930,3
N930,N931,5
N931,N932,5
N932,N933,3
N933,N934,5
N934,N935,3
N935,N936,4
N936,N937,2
N937,N938,3
N938,N939,4
N939,N940,5
N940,N941,1
N941,N942,5
N942,N943,4
N943,N944,3
N944,N945,4
N945,N946,5
N946,N947,2
N947,N948,5
N948,N949,2
N949,N950,5
N950,N951,5
N951,N952,4
N952,N953,3
N953,N954,1
N954,N955,5
N955,N956,2
N956,N957,5
N957,N958,4
N958,N959,3
N959,N960,1
N960,N961,5
N961,N962,2
N962,N963,1
N963,N964,1
N964,N965,5
N965,N966,5
N966,N967,5
N967,N968,4
N968,N969,1
N969,N970,4
N970,N971,5
N971,N972,3
N972,N973,3
N973,N974,3
N974,N975,2
N975,N976,1
N976,N977,5
N977,N978,1
N978,N979,3
N979,N980,3
N980,N981,4
N981,N982,2
N982,N983,1
N983,N984,2
N984,N985,2
N985,N986,1
N986,N987,3
N987,N988,3
N988,N989,1
N989,N990,5
N990,N991,4
N991,N992,4
N992,N993,3
N993,N994,2
N994,N995,5
N995,N996,5
N996,N997,3
N997,N998,1
N998,N999,5
N999,N1000,1
N1000,N1001,4
N1001,N1002,2
N1002,N1003,4
N1003,N1004,4
N1004,N1005,2
N1005,N1006,2
N1006,N1007,1
N1007,N1008,3
N1008,N1009,1
N1009,N1010,2
N1010,N1011,2
N1011,N1012,5
N1012,N1013,4
N1013,N1014,2
N1014,N1015,3
N1015,N1016,3
N1016,N1017,4
N1017,N1018,2
N1018,N1019,5
N1019,N1020,1
N1020,N1021,5
N1021,N1022,1
N1022,N1023,4
N1023,N1024,3
N1024,N1025,3
N1025,N1026,1
N1026,N1027,4
N1027,N1028,1
N1028,N1029,2
N1029,N1030,4
N1030,N1031,3
N1031,N1032,4
N1032,N1033,5
N1033,N1034,2
N1034,N1035,3
N1035,N1036,4
N1036,N1037,4
N1037,N1038,5
N1038,N1039,5
N1039,N1040,3
N1040,N1041,4
N1041,N1042,3
N1042,N1043,4
N1043,N1044,1
N1044,N1045,4
N1045,N1046,5
N1046,N1047,1
N1047,N1048,4
N1048,N1049,5
N1049,N1050,4
N1050,N1051,5
N1051,N1052,2
N1052,N1053,3
N1053,N1054,5
N1054,N1055,4
N1055,N1056,4
N1056,N1057,4
N1057,N1058,3
N1058,N1059,5
N1059,N1060,1
N1060,N1061,3
N1061,N1062,4
N1062,N1063,4
N1063,N1064,5
N1064,N1065,1
N1065,N1066,5
N1066,N1067,3
N1067,N1068,3
N1068,N1069,4
N1069,N1070,3
N1070,N1071,1
N1071,N1072,2
N1072,N1073,4
N1073,N1074,5
N1074,N1075,1
N1075,N1076,4
N1076,N1077,5
N1077,N1078,4
N1078,N1079,1
N1079,N1080,5
N1080,N1081,1
N1081,N1082,3
N1082,N1083,5
N1083,N1084,1
N1084,N1085,1
N1085,N1086,5
N1086,N1087,2
N1087,N1088,5
N1088,N1089,4
N1089,N1090,4
N1090,N1091,5
N1091,N1092,2
N1092,N1093,2
N1093,N1094,2
N1094,N1095,3
N1095,N1096,4
N1096,N1097,4
N1097,N1098,3
N1098,N1099,1
N1099,N1100,1
N1100,N1101,5
N1101,N1102,4
N1102,N1103,4
N1103,N1104,3
N1104,N1105,1
N1105,N1106,5
N1106,N1107,5
N1107,N1108,4
N1108,N1109,3
N1109,N1110,4
N1110,N1111,5
N1111,N1112,1
N1112,N1113,2
N1113,N1114,3
N1114,N1115,5
N1115,N1116,5
N1116,N1117,3
N1117,N1118,1
N1118,N1119,2
N1119,N1120,3
N1120,N1121,5
N1121,N1122,4
N1122,N1123,5
N1123,N1124,4
N1124,N1125,2
N1125,N1126,2
N1126,N1127,2
N1127,N1128,5
N1128,N1129,5
N1129,N1130,3
N1130,N1131,5
N1131,N1132,4
N1132,N1133,5
N1133,N1134,2
N1134,N1135,3
N1135,N1136,3
N1136,N1137,1
N1137,N1138,2
N1138,N1139,5
N1139,N1140,1
N1140,N1141,5
N1141,N1142,3
N1142,N1143,2
N1143,N1144,3
N1144,N1145,5
N1145,N1146,4
N1146,N1147,1
N1147,N1148,3
N1148,N1149,1
N1149,N1150,5
N1150,N1151,3
N1151,N1152,4
N1152,N1153,5
N1153,N1154,5
N1154,N1155,1
N1155,N1156,3
N1156,N1157,3
N1157,N1158,4
N1158,N1159,1
N1159,N1160,3
N1160,N1161,4
N1161,N1162,4
N1162,N1163,4
N1163,N1164,4
N1164,N1165,1
N1165,N1166,1
N1166,N1167,1
N1167,N1168,3
N1168,N1169,3
N1169,N1170,3
N1170,N1171,5
N1171,N1172,1
N1172,N1173,2
N1173,N1174,1
N1174,N1175,5
N1175,N1176,3
N1176,N1177,1
N1177,N1178,5
N1178,N1179,4
N1179,N1180,1
N1180,N1181,4
N1181,N1182,3
N1182,N1183,4
N1183,N1184,4
N1184,N1185,2
N1185,N1186,5
N1186,N1187,4
N1187,N1188,2
N1188,N1189,3
N1189,N1190,1
N1190,N1191,1
N1191,N1192,3
N1192,N1193,1
N1193,N1194,2
N1194,N1195,5
N1195,N1196,4
N1196,N1197,4
N1197,N1198,2
N1198,N1199,1
N1199,N1200,5
N1200,N1201,4
N1201,N1202,5
N1202,N1203,3
N1203,N1204,2
N1204,N1205,4
N1205,N1206,1
N1206,N1207,5
N1207,N1208,5
N1208,N1209,1
N1209,N1210,1
N1210,N1211,4
N1211,N1212,2
N1212,N1213,2
N1213,N1214,3
N1214,N1215,5
N1215,N1216,3
N1216,N1217,1
N1217,N1218,2
N1218,N1219,2
N1219,N1220,3
N1220,N1221,2
N1221,N1222,5
N1222,N1223,1
N1223,N1224,1
N1224,N1225,3
N1225,N1226,1
N1226,N1227,4
N1227,N1228,5
N1228,N1229,4
N1229,N1230,3
N1230,N1231,3
N1231,N1232,4
N1232,N1233,3
N1233,N1234,1
N1234,N1235,1
N1235,N1236,1
N1236,N1237,1
N1237,N1238,5
N1238,N1239,5
N1239,N1240,3
N1240,N1241,2
N1241,N1242,2
N1242,N1243,3
N1243,N1244,4
N1244,N1245,1
N1245,N1246,5
N1246,N1247,1
N1247,N1248,1
N1248,N1249,4
N1249,N1250,5
N1250,N1251,1
N1251,N1252,3
N1252,N1253,2
N1253,N1254,2
N1254,N1255,2
N1255,N1256,4
N1256,N1257,3
N1257,N1258,2
N1258,N1259,1
N1259,N1260,1
N1260,N1261,4
N1261,N1262,4
N1262,N1263,3
N1263,N1264,1
N1264,N1265,4
N1265,N1266,5
N1266,N1267,4
N1267,N1268,1
N1268,N1269,2
N1269,N1270,1
N1270,N1271,4
N1271,N1272,3
N1272,N1273,1
N1273,N1274,4
N1274,N1275,1
N1275,N1276,5
N1276,N1277,1
N1277,N1278,1
N1278,N1279,1
N1279,N1280,1
N1280,N1281,5
N1281,N1282,3
N1282,N1283,4
N1283,N1284,3
N1284,N1285,3
N1285,N1286,3
N1286,N1287,5
N1287,N1288,3
N1288,N1289,1
N1289,N1290,2
N1290,N1291,2
N1291,N1292,2
N1292,N1293,3
N1293,N1294,1
N1294,N1295,1
N1295,N1296,4
N1296,N1297,3
N1297,N1298,2
N1298,N1299,1
N1299,N1300,1
N1300,N1301,5
N1301,N1302,1
N1302,N1303,2
N1303,N1304,1
N1304,N1305,3
N1305,N1306,2
N1306,N1307,3
N1307,N1308,5
N1308,N1309,3
N1309,N1310,1
N1310,N1311,2
N1311,N1312,4
N1312,N1313,2
N1313,N1314,3
N1314,N1315,5
N1315,N1316,4
N1316,N1317,1
N1317,N1318,3
N1318,N1319,5
N1319,N1320,3
N1320,N1321,5
N1321,N1322,4
N1322,N1323,5
N1323,N1324,2
N1324,N1325,3
N1325,N1326,1
N1326,N1327,5
N1327,N1328,5
N1328,N1329,5
N1329,N1330,4
N1330,N1331,5
N1331,N1332,5
N1332,N1333,3
N1333,N1334,5
N1334,N1335,5
N1335,N1336,1
N1336,N1337,3
N1337,N1338,5
N1338,N1339,2
N1339,N1340,1
N1340,N1341,1
N1341,N1342,2
N1342,N1343,1
N1343,N1344,2
N1344,N1345,3
N1345,N1346,1
N1346,N1347,5
N1347,N1348,5
N1348,N1349,1
N1349,N1350,1
N1350,N1351,4
N1351,N1352,3
N1352,N1353,1
N1353,N1354,1
N1354,N1355,2
N1355,N1356,1
N1356,N1357,5
N1357,N1358,4
N1358,N1359,3
N1359,N1360,1
N1360,N1361,4
N1361,N1362,1
N1362,N1363,2
N1363,N1364,3
N1364,N1365,4
N1365,N1366,4
N1366,N1367,5
N1367,N1368,5
N1368,N1369,4
N1369,N1370,1
N1370,N1371,2
N1371,N1372,5
N1372,N1373,2
N1373,N1374,2
N1374,N1375,3
N1375,N1376,2
N1376,N1377,3
N1377,N1378,5
N1378,N1379,5
N1379,N1380,2
N1380,N1381,2
N1381,N1382,5
N1382,N1383,4
N1383,N1384,2
N1384,N1385,2
N1385,N1386,1
N1386,N1387,4
N1387,N1388,4
N1388,N1389,4
N1389,N1390,2
N1390,N1391,2
N1391,N1392,4
N1392,N1393,2
N1393,N1394,5
N1394,N1395,5
N1395,N1396,5
N1396,N1397,5
N1397,N1398,2
N1398,N1399,2
N1399,N1400,1
N1400,N1401,4
N1401,N1402,5
N1402,N1403,5
N1403,N1404,3
N1404,N1405,4
N1405,N1406,4
N1406,N1407,4
N1407,N1408,2
N1408,N1409,4
N1409,N1410,3
N1410,N1411,2
N1411,N1412,2
N1412,N1413,2
N1413,N1414,3
N1414,N1415,5
N1415,N1416,3
N1416,N1417,2
N1417,N1418,4
N1418,N1419,2
N1419,N1420,3
N1420,N1421,3
N1421,N1422,5
N1422,N1423,4
N1423,N1424,3
N1424,N1425,4
N1425,N1426,2
N1426,N1427,4
N1427,N1428,5
N1428,N1429,2
N1429,N1430,4
N1430,N1431,3
N1431,N1432,3
N1432,N1433,1
N1433,N1434,5
N1434,N1435,2
N1435,N1436,3
N1436,N1437,5
N1437,N1438,1
N1438,N1439,5
N1439,N1440,3
N1440,N1441,2
N1441,N1442,1
N1442,N1443,4
N1443,N1444,1
N1444,N1445,4
N1445,N1446,5
N1446,N1447,3
N1447,N1448,1
N1448,N1449,4
N1449,N1450,3
N1450,N1451,1
N1451,N1452,5
N1452,N1453,4
N1453,N1454,1
N1454,N1455,4
N1455,N1456,5
N1456,N1457,2
N1457,N1458,2
N1458,N1459,1
N1459,N1460,5
N1460,N1461,1
N1461,N1462,3
N1462,N1463,3
N1463,N1464,5
N1464,N1465,2
N1465,N1466,1
N1466,N1467,5
N1467,N1468,4
N1468,N1469,2
N1469,N1470,3
N1470,N1471,1
N1471,N1472,3
N1472,N1473,2
N1473,N1474,1
N1474,N1475,1
N1475,N1476,5
N1476,N1477,2
N1477,N1478,2
N1478,N1479,2
N1479,N1480,4
N1480,N1481,5
N1481,N1482,2
N1482,N1483,5
N1483,N1484,1
N1484,N1485,1
N1485,N1486,4
N1486,N1487,3
N1487,N1488,4
N1488,N1489,5
N1489,N1490,3
N1490,N1491,2
N1491,N1492,4
N1492,N1493,2
N1493,N1494,3
N1494,N1495,4
N1495,N1496,3
N1496,N1497,1
N1497,N1498,1
N1498,N1499,1
N1499,N1500,2
N1500,N1501,2
N1501,N1502,4
N1502,N1503,4
N1503,N1504,3
N1504,N1505,4
N1505,N1506,1
N1506,N1507,5
N1507,N1508,3
N1508,N1509,4
N1509,N1510,4
N1510,N1511,1
N1511,N1512,2
N1512,N1513,4
N1513,N1514,2
N1514,N1515,1
N1515,N1516,5
N1516,N1517,1
N1517,N1518,2
N1518,N1519,3
N1519,N1520,4
N1520,N1521,5
N1521,N1522,2
N1522,N1523,5
N1523,N1524,1
N1524,N1525,5
N1525,N1526,2
N1526,N1527,3
N1527,N1528,5
N1528,N1529,3
N1529,N1530,5
N1530,N1531,4
N1531,N1532,4
N1532,N1533,5
N1533,N1534,5
N1534,N1535,3
N1535,N1536,5
N1536,N1537,2
N1537,N1538,1
N1538,N1539,1
N1539,N1540,4
N1540,N1541,3
N1541,N1542,4
N1542,N1543,1
N1543,N1544,3
N1544,N1545,4
N1545,N1546,5
N1546,N1547,5
N1547,N1548,2
N1548,N1549,1
N1549,N1550,2
N1550,N1551,2
N1551,N1552,3
N1552,N1553,2
N1553,N1554,3
N1554,N1555,1
N1555,N1556,5
N1556,N1557,5
N1557,N1558,4
N1558,N1559,3
N1559,N1560,1
N1560,N1561,5
N1561,N1562,1
N1562,N1563,4
N1563,N1564,3
N1564,N1565,5
N1565,N1566,2
N1566,N1567,4
N1567,N1568,2
N1568,N1569,4
N1569,N1570,3
N1570,N1571,5
N1571,N1572,1
N1572,N1573,2
N1573,N1574,3
N1574,N1575,2
N1575,N1576,1
N1576,N1577,2
N1577,N1578,5
N1578,N1579,5
N1579,N1580,2
N1580,N1581,1
N1581,N1582,1
N1582,N1583,4
N1583,N1584,4
N1584,N1585,5
N1585,N1586,3
N1586,N1587,5
N1587,N1588,2
N1588,N1589,5
N1589,N1590,5
N1590,N1591,4
N1591,N1592,1
N1592,N1593,1
N1593,N1594,5
N1594,N1595,1
N1595,N1596,1
N1596,N1597,4
N1597,N1598,4
N1598,N1599,5
